file_name,clean,noise,snr
0013.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_013.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,11.648852816008436
0014.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_014.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,-0.7532177864344769
0015.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_015.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-1.3635006558579876
0016.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_016.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,-1.3319098029313237
0017.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_017.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,1.0848448591907545
0018.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_018.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,5.495128632644757
0019.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_019.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,3.638900372842315
0020.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_020.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,0.8245828039608387
0021.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_021.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,7.23705789444759
0022.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_022.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-2.2101227869591633
0023.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_023.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,0.8428929707043631
0024.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_024.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,2.327236865873834
0025.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_025.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,4.1213996843407195
0026.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_026.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,10.703519227860273
0027.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_027.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,-1.0065243568328053
0028.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_028.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,5.2846887682722326
0029.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_029.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,6.84829137724085
0030.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_030.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,-4.070991745600045
0031.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_031.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,7.150897038028766
0032.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_032.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,-1.5895175262541694
0033.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_033.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,-3.6989681402944097
0034.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_034.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,13.977710745066666
0035.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_035.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,14.312640661491187
0036.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_036.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,11.167946962329221
0037.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_037.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,1.0922753834674133
0038.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_038.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,-3.0465577198723226
0039.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_039.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,8.684660530243137
0040.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_040.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,3.803049874792027
0041.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_041.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,-2.5592353031044235
0042.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_042.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,4.903538202225404
0043.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_043.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-4.312229577695632
0044.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_044.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,13.186408041575643
0045.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_045.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,0.17559963200033835
0046.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_046.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,8.25044568707964
0047.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_047.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,1.2342215217882195
0048.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_048.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,5.401360423556216
0049.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_049.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,5.934205586865593
0050.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_050.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-1.3029108894894592
0051.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_051.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,14.391692555291172
0052.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_052.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,10.502656467222291
0053.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_053.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,13.789978831283783
0054.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_054.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,12.896547008552975
0055.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_055.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,6.957999576221702
0056.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_056.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,13.437484700462335
0057.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_057.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-3.23014995896161
0058.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_058.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,-1.080342751617096
0059.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_059.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,-4.095454221789239
0060.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_060.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,1.5066066152652873
0061.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_061.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,2.7735457937896406
0062.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_062.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,0.42698063547791776
0063.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_063.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,11.574750183038589
0064.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_064.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,2.135066533871786
0065.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_065.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,0.6186901937476152
0066.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_066.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,5.85392166316497
0067.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_067.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,-2.181515500504747
0068.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_068.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,11.043939615080795
0069.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_069.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,-3.5089871264045835
0070.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_070.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,14.737738732010346
0071.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_071.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,10.444895385933147
0072.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_072.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,-1.0256863693165519
0073.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_073.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,-4.889557657527952
0074.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_074.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,11.309228569096682
0075.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_075.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,9.137146876952343
0076.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_076.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,9.580143360819747
0077.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_077.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,10.425406933718914
0078.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_078.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-3.519106965318193
0079.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_079.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,2.1693145708854527
0080.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_080.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,-2.6826188094974057
0081.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_081.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,12.26206851751187
0082.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_082.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,7.465962536551158
0083.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_083.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,1.6179604970529837
0084.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_084.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,-3.7288329942795273
0085.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_085.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,1.219646434313244
0086.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_086.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,1.503666440534941
0087.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_087.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,9.59212356676128
0088.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_088.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,7.751149427104263
0089.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_089.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,12.74425485152653
0090.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_090.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,4.444298503238986
0091.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_091.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,-2.608115081233966
0092.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_092.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,9.2648957444599
0093.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_093.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,10.215700972337949
0094.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_094.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,6.225543951389925
0095.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_095.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,10.41934359909122
0096.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_096.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,4.875911927287815
0097.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_097.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,5.454656587639882
0098.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_098.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,3.550820367170992
0099.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_099.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-4.491617465118097
0100.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_100.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,-2.842171460133911
0101.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_101.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,-4.371416286265315
0102.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_102.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,7.728208225275608
0103.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_103.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,1.287119621526534
0104.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_104.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,5.171413823294056
0105.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_105.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,13.151329478521859
0106.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_106.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,-0.014155417022500671
0107.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_107.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,3.2076584607125938
0108.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_108.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,10.111022770860973
0109.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_109.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,-0.42403669016755074
0110.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_110.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,-3.46040180342414
0111.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_111.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,0.795029058275361
0112.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_112.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,-1.7755742549199116
0113.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_113.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,13.59395304685146
0114.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_114.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,11.16240759128834
0115.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_115.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,7.66807513020847
0116.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_116.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,12.429211803754356
0117.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_117.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,11.07344153798229
0118.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_118.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,-1.2685988222792832
0119.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_119.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,12.851179969799556
0120.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_120.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/babble.wav,5.786844838313014
0121.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_121.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/f16.wav,11.14880310328125
0122.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_122.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/factory1.wav,12.921825998469863
0123.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_123.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/leopard.wav,1.3600694994372775
0124.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_124.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/pink.wav,-2.798961509446465
0125.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_125.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/volvo.wav,-0.44129674916116635
0126.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/boy1/boy1_papercup_clean_126.wav,/home/sbplab/yuchen/GTCRN/SEtrain/speech_lib/noisex92_16k/white.wav,3.542155772525126
